shortcode,website,logo,description,issuer,when,css_class
MSDR,https://www.credly.com/earner/earned/badge/b0fd3966-8068-49ad-bd28-07b97fcdc7e6,https://images.credly.com/size/340x340/images/ff9362ed-9721-494d-a44e-ded96f82d5c8/image.png,Microsoft Disaster Response Project Volunteer,Microsoft Philanthropies,Mar 2025
SBHML,https://www.linkedin.com/learning/certificates/0d2995fc928309498f1a369c47e9facdb06fc36005601ce989948b9c47185ccc?trk=share_certificate,/assets/linkedin-learning.png,Science-Based Habits for Modern Leadership,Dec 2024,LinkedIn
DDEP,https://credentials.databricks.com/8acae5d8-4dd2-49d3-94a0-3e019ab55b1b,/assets/databricks-certified-data-engineer-professional.png, Certified Data Engineer Professional,Databricks,March 2024,
STLP,https://www.credly.com/badges/e66923cd-5dd3-4015-92d4-7b96c2c8da42,https://images.credly.com/size/70x70/images/c59867bd-855a-419a-95a6-114edcded679/3750_STLP_2021_v2.png, Senior Technical Leadership Program, Microsoft,June 2022,
Event Speaker,https://www.credly.com/badges/346c5690-d907-4621-be8c-ac7e0135cbeb,https://images.credly.com/size/70x70/images/ab56fb18-ecc0-4cac-93ba-f52c31c784fe/Event-Speaker-Silver.png,Event Speaker Silver,Microsoft,"2018, 2021 & 2022",
MentorGold,https://www.credly.com/badges/bdf91366-e89d-47c2-99b0-e81899bc4c97,https://images.credly.com/size/340x340/images/de225366-bc99-4b5f-a6a2-cbbb21f52253/Mentor-Gold.png, Mentor Gold, Microsoft, May 2021,
LFCS,https://www.credly.com/badges/84d216b2-5405-49e0-98e2-e9d69c7000be,https://images.credly.com/size/70x70/images/7b3e8069-a4f3-4286-9eda-c146bf80d5ea/1_LFCS-600x600.png,LFCS: Linux Foundation Certified Systems Administrator,The Linux Foundation,"2017 and Nov 2020",noprint
OpenHackKMTechLead,https://www.credly.com/badges/7269d895-8063-4ae1-88ea-4799bf5bcbf3,https://images.credly.com/size/70x70/images/6a5116cc-a452-482c-b81f-bdd4a2364b55/AIKM_TechLead.png,OpenHack: AI-Powered Knowledge Mining Tech Lead,Microsoft OpenHack,September 2020,
AzureDataScientistAssociate,https://www.credly.com/badges/88027ec1-cdbe-43fc-ad7d-0bc4683f1fdf,https://images.credly.com/size/70x70/images/5c8fca38-b0d2-49e5-9ad2-f3f8e79b327f/azure-data-scientist-associate-600x600.png,Azure Data Scientist Associate,Microsoft,October 2020 + renewals,
OpenHackKMCoach,https://www.credly.com/badges/c1264ef4-42b6-4181-ba05-f2dafaaf03dc,https://images.credly.com/size/70x70/images/a0268b5f-fe58-4187-a316-83aacf0ab2f4/AI_Powered_Knowledge_Mining_Coach.png,OpenHack: AI-Powered Knowledge Mining Coach,Microsoft OpenHack,September 2020,noprint
OpenHackMDWCoach,https://www.credly.com/badges/daf86cd2-d134-4c53-80a2-5705028fde5b,https://images.credly.com/size/70x70/images/1d5789dc-c230-44fb-9b06-49366e091d5e/image.png,OpenHack: Modern Data Warehousing Coach,Microsoft OpenHack,March 2020,
AzureDataEngineer,https://www.credly.com/badges/72e613e9-8d0b-4a89-9217-1bffe8f7669b,https://images.credly.com/size/70x70/images/61542181-0e8d-496c-a17c-3d4bf590eda1/azure-data-engineer-associate-600x600.png,Azure Data Engineer Associate,Microsoft,September 2019 + renewals,
DP-201,https://www.credly.com/badges/2fad567f-1161-4af1-99c7-fecc7adcd3cd,https://images.credly.com/size/70x70/images/c4671de2-68f7-4219-952d-2e955e25f453/exam-dp201-600x600.png,DP-201 Designing an Azure Data Solution,Microsoft,September 2019,noprint
DP-200,https://www.credly.com/badges/fd4a9c5b-2558-4070-8b00-0d19b4a946ab,https://images.credly.com/size/70x70/images/af626bbe-ed13-472f-9e72-d4808474acb5/exam-dp200-600x600.png,DP-200 Implementing an Azure Data Solution,Microsoft,September 2019,noprint
AI-100,https://www.credly.com/badges/d717bb73-6342-4ccd-809f-9e782a481881,https://images.credly.com/size/70x70/images/61f56aa4-16fd-403c-90bc-1d90dba1fa99/image.png,Azure AI Engineer Associate,Microsoft,February 2019 + renewals,
